代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
6781,,其他,其他,15,10.55,53.73,1583523,1908145215,1205.0,低
2065,,其他,其他,15,2.9,89.71,99779,3542154,35.5,高
2070,,其他,其他,15,17.67,54.64,3637776,276107203,75.9,低
2105,,其他,其他,15,-1.69,47.67,11647532,371556266,31.9,低
3071,,其他,其他,15,6.57,60.17,1298406,41094549,31.65,低
3083,,其他,其他,15,-2.33,52.94,186259,5066244,27.2,低
3088,,其他,其他,15,1.82,70.67,2818650,394611000,140.0,中
3090,,其他,其他,15,6.38,81.46,2921655,609165067,208.5,高
3178,,其他,其他,15,5.34,53.4,378400,26866400,71.0,低
6844,,其他,其他,15,-0.91,67.86,31100,2033940,65.4,中
2024,,其他,其他,15,-0.35,47.06,41686,587772,14.1,低
6862,,其他,其他,15,12.05,51.18,1083102,201456972,186.0,低
3105,,其他,其他,15,9.32,56.47,48717764,25722979392,528.0,低
3114,,其他,其他,15,2.89,68.7,349236,9935764,28.45,中
3150,,其他,其他,15,0.51,49.23,127809,2537008,19.85,低
9918,,其他,其他,15,0.35,50.0,94123,4103762,43.6,低
4175,,其他,其他,15,0.56,47.5,43090,2313933,53.7,低
1312,,其他,其他,15,3.3,40.95,15110539,165460399,10.95,低
1314,,其他,其他,15,-1.39,48.57,23315821,165542326,7.1,低
1315,,其他,其他,15,0.98,48.28,51059,3145234,61.6,低
1323,,其他,其他,15,1.26,68.0,133432,2688654,20.15,中
8499,,其他,其他,15,12.57,56.99,296572,92975322,313.5,低
8921,,其他,其他,15,1.09,60.87,0,0,18.5,低
4558,,其他,其他,15,1.78,61.11,60000,1200000,20.0,低
4419,,其他,其他,15,-0.11,54.64,20438,941169,46.05,低
4430,,其他,其他,15,2.07,54.55,119781,2066222,17.25,低
4438,,其他,其他,15,2.42,56.94,83988,4980488,59.3,低
9136,,其他,其他,15,4.09,38.33,1741000,19934449,11.45,低
9917,,其他,其他,15,0.88,52.63,419627,47837478,114.0,低
