日期,代號,名稱,族群,分數,收盤價
2026-05-28,6204,永豐臺灣加權,其他,22,90.1
2026-05-28,4933,友輝,其他,22,74.7
2026-05-28,3213,茂訊,其他,22,120.5
2026-05-28,1612,宏泰,其他,22,36.9
2026-05-28,6263,普萊德,其他,22,184.0
2026-05-28,3546,宇峻,其他,22,81.3
2026-05-28,4163,鐿鈦,其他,22,116.0
2026-05-28,1709,和益,其他,22,19.2
2026-05-28,2527,宏璟,其他,22,36.25
2026-05-28,1713,國化,其他,22,49.25
2026-05-28,8440,綠電,其他,22,24.2
2026-05-28,1762,中化生,其他,22,39.7
2026-05-28,3114,好德,其他,22,28.65
2026-05-28,2414,精技,其他,22,51.2
2026-05-28,2546,根基,其他,22,87.3
2026-05-28,5210,寶碩,其他,22,27.25
2026-05-28,6113,亞矽,其他,22,26.9
2026-05-28,8931,大汽電,其他,22,43.5
2026-05-28,4711,永純,其他,22,17.1
2026-05-28,5488,松普,其他,22,11.85
2026-05-28,2373,震旦行,其他,22,58.0
2026-05-28,2114,鑫永銓,其他,22,91.6
2026-05-28,5523,豐謙,其他,22,30.45
2026-05-28,8097,常珵,其他,22,57.7
2026-05-28,5324,士開,其他,22,11.95
2026-05-28,6194,育富,其他,22,34.5
2026-05-28,4433,興采,其他,22,21.5
2026-05-28,4527,方土霖,其他,22,44.5
2026-05-28,4538,大詠城,其他,22,18.7
2026-05-28,3646,艾恩特,其他,22,23.85
2026-05-28,3067,全域,其他,22,18.5
2026-05-28,2409,友達,其他,21,21.8
2026-05-28,3163,波若威,矽光子,21,1100.0
2026-05-28,1519,華城,重電,21,878.0
2026-05-28,4991,環宇-KY,其他,21,783.0
2026-05-28,2489,瑞軒,其他,21,50.7
2026-05-28,4749,新應材,其他,21,1115.0
2026-05-28,2426,鼎元,其他,21,77.8
2026-05-28,2329,華泰,其他,21,58.5
2026-05-28,6664,群翊,其他,21,454.5
2026-05-28,6640,均華,其他,21,1425.0
2026-05-28,2645,長榮航太,其他,21,161.5
2026-05-28,3526,凡甲,其他,21,372.0
2026-05-28,3577,泓格,其他,21,146.5
2026-05-28,1721,三晃,其他,21,30.15
2026-05-28,2731,雄獅,其他,21,166.0
2026-05-28,6227,茂綸,其他,21,125.0
2026-05-28,2727,王品,其他,21,234.0
2026-05-28,3441,聯一光,其他,21,51.7
2026-05-28,6143,振曜,其他,21,100.0
2026-05-28,2851,中再保,其他,21,35.0
2026-05-28,2206,三陽工業,其他,21,59.8
2026-05-28,6538,倉和,其他,21,123.0
2026-05-28,3071,協禧,其他,21,33.1
2026-05-28,4741,泓瀚,其他,21,62.6
2026-05-28,4534,慶騰,其他,21,25.75
2026-05-28,2491,吉祥全,其他,21,22.55
2026-05-28,2516,新建,其他,21,13.6
2026-05-28,6259,百徽,其他,21,27.05
2026-05-28,3564,其陽,其他,21,46.0
2026-05-28,8111,立碁,其他,20,67.6
2026-05-28,5289,宜鼎,其他,19,1700.0
2026-05-28,3374,精材,其他,19,250.5
2026-05-28,2486,一詮,其他,19,276.0
2026-05-28,2355,敬鵬,其他,19,62.6
2026-05-28,2455,全新,其他,19,418.5
2026-05-28,4908,前鼎,其他,19,259.5
2026-05-28,5309,系統電,其他,19,68.5
2026-05-28,2436,偉詮電,其他,19,78.1
2026-05-28,2615,萬海,航運,19,81.8
2026-05-28,1582,信錦,其他,19,110.0
2026-05-28,2354,鴻準,其他,19,59.7
2026-05-28,3227,原相,其他,19,226.5
2026-05-28,2498,宏達電,其他,19,44.65
2026-05-28,3217,優群,其他,19,197.5
2026-05-28,6584,南俊國際,其他,19,688.0
2026-05-28,2328,廣宇,其他,19,53.8
2026-05-28,6261,久元,其他,19,118.0
2026-05-28,3580,友威科,其他,19,107.0
2026-05-28,6485,點序,其他,19,108.0
2026-05-28,8932,智通*,其他,19,100.0
2026-05-28,6642,富致,其他,19,83.6
2026-05-28,3294,英濟,其他,19,39.8
2026-05-28,4561,健椿,其他,19,48.8
2026-05-28,2535,達欣工,其他,19,78.0
2026-05-28,2612,中航,其他,19,57.6
2026-05-28,2420,新巨,其他,19,62.5
2026-05-28,6894,衛司特,其他,19,370.0
2026-05-28,8044,網家,其他,19,28.3
2026-05-28,2032,新鋼,其他,19,18.0
2026-05-28,2030,彰源,其他,19,18.0
2026-05-28,5464,霖宏,其他,19,71.1
2026-05-28,6899,創為精密,其他,19,62.8
2026-05-28,5410,國眾,其他,19,38.35
2026-05-28,1256,鮮活果汁-KY,其他,19,192.0
2026-05-28,6494,九齊,其他,19,58.8
2026-05-28,3556,禾瑞亞,其他,19,56.1
2026-05-28,1533,車王電,其他,19,38.65
2026-05-28,2390,云辰,其他,19,10.7
2026-05-28,3206,志豐,其他,19,37.75
2026-05-28,2816,旺旺保,其他,19,31.95
2026-05-28,5209,新鼎,其他,19,169.0
2026-05-28,6101,寬魚國際,其他,19,40.6
2026-05-28,6574,霈方,其他,19,117.0
2026-05-28,4744,皇將,其他,19,34.15
2026-05-28,5014,建錩,其他,19,10.95
2026-05-28,3666,光耀,其他,19,28.8
2026-05-28,1733,五鼎,其他,19,29.9
2026-05-28,5353,台林,其他,19,27.0
2026-05-28,5220,萬達光電,其他,19,23.3
2026-05-28,8455,大拓-KY,其他,19,39.75
2026-05-28,1418,東華,其他,19,18.8
2026-05-28,6855,數泓科,其他,19,111.0
2026-05-28,2849,安泰銀,其他,19,13.8
2026-05-28,3171,炎洲流通,其他,19,70.2
2026-05-28,8354,冠好,其他,19,16.85
2026-05-28,1423,利華,其他,19,41.5
2026-05-28,5356,協益,其他,19,27.0
2026-05-28,1465,偉全,其他,19,12.3
2026-05-28,2008,高興昌,其他,19,28.15
2026-05-28,5543,桓鼎-KY,其他,19,30.4
2026-05-28,4550,長佳,其他,19,25.0
2026-05-28,4767,誠泰科技,其他,19,26.7
2026-05-28,4198,欣大健康,其他,19,39.8
2026-05-28,3426,台興,其他,19,47.75
2026-05-28,8342,益張,其他,19,91.5
2026-05-28,6680,鑫創電子,其他,19,57.9
2026-05-28,8921,沈氏,其他,19,18.5
2026-05-28,8923,時報,其他,19,20.1
2026-05-28,2402,毅嘉,其他,18,68.7
2026-05-28,3709,鑫聯大投控,其他,18,86.3
2026-05-28,3430,奇鈦科,其他,18,162.5
2026-05-28,6679,鈺太,其他,18,330.0
2026-05-28,2352,佳世達,其他,18,27.55
2026-05-28,3490,單井,其他,18,39.4
2026-05-28,6208,富邦台50,其他,18,93.0
2026-05-28,2014,中鴻,其他,18,18.0
2026-05-28,3169,亞信,其他,18,119.0
2026-05-28,2417,圓剛,其他,18,50.2
2026-05-28,1608,華榮,其他,18,33.65
2026-05-28,6609,瀧澤科,其他,18,46.4
2026-05-28,3594,磐儀,其他,18,53.5
2026-05-28,2243,宏旭-KY,其他,18,23.75
2026-05-28,2609,陽明,航運,17,52.6
2026-05-28,6530,創威,其他,17,113.0
2026-05-28,6236,中湛,其他,17,20.0
2026-05-28,2337,旺宏,其他,16,155.5
2026-05-28,2603,長榮,航運,16,211.5
2026-05-28,3363,上詮,其他,16,847.0
2026-05-28,3324,雙鴻,散熱,16,1035.0
2026-05-28,2618,長榮航,其他,16,34.8
2026-05-28,2412,中華電,其他,16,137.0
2026-05-28,6462,神盾,其他,16,133.0
2026-05-28,2374,佳能,其他,16,80.8
2026-05-28,5443,均豪,其他,16,126.5
2026-05-28,2834,臺企銀,其他,16,16.15
2026-05-28,4510,高鋒,其他,16,48.45
2026-05-28,8054,安國,其他,16,107.5
2026-05-28,6237,驊訊,其他,16,51.1
2026-05-28,8383,千附,其他,16,60.2
2026-05-28,3207,耀勝,其他,16,64.7
2026-05-28,3558,神準,其他,16,129.0
2026-05-28,6126,信音,其他,16,35.1
2026-05-28,6151,晉倫,其他,16,44.7
2026-05-28,3219,倚強科,其他,16,85.7
2026-05-28,2241,艾姆勒,其他,16,36.35
2026-05-28,2236,百達-KY,其他,16,141.5
2026-05-28,3147,大綜,其他,16,184.5
2026-05-28,2362,藍天,其他,16,41.05
2026-05-28,6811,宏碁資訊,其他,16,210.0
2026-05-28,8109,博大,其他,16,121.5
2026-05-28,2405,輔信,其他,16,16.4
2026-05-28,2397,友通,其他,16,62.9
2026-05-28,6922,宸曜,其他,16,187.0
2026-05-28,6996,力領科技,其他,16,191.5
2026-05-28,5263,智崴,其他,16,107.0
2026-05-28,4974,亞泰,其他,16,75.8
2026-05-28,4729,熒茂,其他,16,24.0
2026-05-28,2483,百容,其他,16,25.4
2026-05-28,1527,鑽全,其他,16,32.7
2026-05-28,6465,威潤,其他,16,50.9
2026-05-28,8048,德勝,其他,16,63.6
2026-05-28,6498,久禾光,其他,16,103.5
2026-05-28,2497,怡利電,其他,16,57.9
2026-05-28,2459,敦吉,其他,16,67.0
2026-05-28,8071,能率網通,其他,16,19.5
2026-05-28,3178,公準,其他,16,71.3
2026-05-28,5609,中菲行,其他,16,80.2
2026-05-28,6859,伯特光,其他,16,121.5
2026-05-28,5511,德昌,其他,16,72.0
2026-05-28,1537,廣隆,其他,16,125.5
2026-05-28,5490,同亨,其他,16,28.75
2026-05-28,2852,第一保,其他,16,26.85
2026-05-28,8049,晶采,其他,16,26.65
2026-05-28,8935,邦泰,其他,16,19.8
2026-05-28,2488,漢平,其他,16,53.1
2026-05-28,3066,李洲,其他,16,20.65
2026-05-28,4580,捷流閥業,其他,16,82.4
2026-05-28,3713,新晶投控,其他,16,15.6
2026-05-28,5227,立凱-KY,其他,16,24.65
2026-05-28,3597,映興,其他,16,27.95
2026-05-28,6612,奈米醫材,其他,16,72.5
2026-05-28,4207,環泰,其他,16,19.35
2026-05-28,4747,強生,其他,16,56.5
2026-05-28,2762,世界健身-KY,其他,16,81.1
2026-05-28,4111,濟生,其他,16,30.0
2026-05-28,1726,永記,其他,16,76.9
2026-05-28,3516,亞帝歐,其他,16,23.5
2026-05-28,6506,雙邦,其他,16,19.1
2026-05-28,1776,展宇,其他,16,18.15
2026-05-28,6762,達亞,其他,16,172.0
2026-05-28,6844,諾貝兒,其他,16,65.4
2026-05-28,1323,永裕,其他,16,20.2
2026-05-28,6195,詩肯,其他,16,26.1
2026-05-28,4558,寶緯,其他,16,20.0
2026-05-28,6242,立康,其他,16,38.05
