代號,產業,族群,分數,5日漲幅,RSI,成交量,成交值,風險
6005,其他,其他,25,7.04,68.07,11825595,386696965,中
3413,其他,半導體耗材,25,8.22,62.83,4564113,1592875437,低
2233,其他,其他,25,9.94,71.21,2137336,780127640,中
3406,其他,機器視覺,25,2.43,68.59,1549419,915706629,中
6668,其他,其他,25,4.59,68.65,1574000,64612698,中
3206,其他,其他,25,-0.13,65.44,313507,11834889,中
4770,其他,半導體耗材,25,8.66,60.95,1920635,482079385,低
6962,其他,其他,25,7.71,65.4,9556105,373643690,中
8016,其他,其他,25,5.82,71.48,1761481,512590971,中
4576,其他,無人機,25,7.16,62.16,6739262,1866775574,低
8069,其他,其他,25,8.26,84.04,6932137,1726102113,高
4433,其他,其他,25,4.88,69.62,156474,3364191,中
4711,其他,其他,25,4.27,73.85,689549,11791288,中
3376,其他,其他,25,7.3,60.0,13053081,2878204360,低
4949,其他,其他,25,23.43,55.69,2313720,249881760,低
3088,其他,其他,25,7.04,80.6,3011049,435096580,高
3168,其他,其他,25,9.44,65.4,498027,24826645,中
2542,其他,營建,25,-1.37,70.11,15145317,652763139,中
6257,其他,其他,25,5.95,74.82,10218439,2365568628,中
6215,其他,智慧製造,25,6.3,66.1,8372748,1130320980,中
3019,其他,機器視覺,25,6.46,69.57,10818242,1693054873,中
2882,金融,金融,25,9.63,68.82,69883832,5968079359,中
8374,其他,其他,25,-0.44,68.35,5985761,673398112,中
4106,其他,其他,25,1.52,77.78,151105,3528301,高
8931,其他,其他,25,3.82,70.21,284057,12356479,中
4163,其他,其他,25,3.11,67.66,355629,41252964,中
1713,其他,其他,25,4.34,65.83,479344,23607692,中
3716,其他,其他,25,1.32,71.01,380306,13158587,中
3537,其他,其他,24,16.26,73.93,6074992,408239443,中
6698,其他,其他,24,10.13,64.34,927200,32266559,低
6716,其他,其他,24,9.07,70.45,1226578,131243846,中
2376,其他,伺服器,24,10.1,60.54,9012980,2996815850,低
6174,其他,其他,24,7.36,65.39,3990114,186138824,中
6491,其他,其他,24,4.95,82.22,686610,211132575,高
6134,其他,其他,24,10.45,58.25,1095377,36476053,低
2478,其他,其他,24,13.74,82.54,3715672,445880640,高
2408,記憶體,DRAM,24,13.45,55.87,205761598,64197618576,低
6509,其他,特化,24,7.45,80.64,3113223,159397019,高
1525,其他,其他,24,18.71,68.12,140753,9824559,中
3617,其他,其他,24,7.31,61.61,551501,113333455,低
2406,其他,其他,24,16.14,50.0,22619298,789413534,低
2399,其他,其他,24,13.74,59.34,16351793,784886064,低
6202,其他,其他,24,15.94,58.09,7160043,437478616,低
6451,其他,其他,24,10.77,56.46,3508859,2021102784,低
2438,其他,其他,24,17.67,61.49,1830520,46312154,低
2449,其他,探針卡,24,13.69,42.81,94975649,29964817259,低
2467,其他,其他,24,18.59,64.19,3133342,2058605694,低
8163,其他,其他,24,6.6,84.1,5072374,180322891,高
8473,其他,其他,24,16.88,77.69,2002780,83916485,高
2484,其他,其他,24,18.74,62.17,21846397,1149120448,低
1597,其他,工具機,24,16.37,56.49,9327929,1856257871,低
3615,其他,其他,24,11.95,71.38,10650694,503777818,中
6725,其他,其他,24,19.26,52.14,1034315,352184257,低
3545,其他,其他,24,8.07,72.16,3757370,231453986,中
3443,其他,矽智財,24,12.03,56.81,2361778,12541041180,低
8215,其他,其他,24,9.98,55.29,5714609,170009617,低
6259,其他,其他,24,16.59,67.75,739795,20011454,中
6226,其他,其他,24,15.23,62.0,6697976,93771664,低
6245,其他,其他,24,9.69,70.98,2655258,240566370,中
6278,其他,其他,24,13.33,64.64,28174555,6705544090,低
1605,其他,其他,24,13.29,56.13,48851868,1831945050,低
