股票代號,股票名稱
700742,聖暉*永豐5A購01
700743,旺矽元富54購05
700744,旺矽元富54購06
700745,雍智元富57購01
700746,雙鴻中信5A購02
700747,台半凱基54購01
700748,弘塑凱基54購06
700749,宜鼎凱基54購09
700750,旺矽凱基56購05
700751,威剛凱基55購02
700752,鈊象凱基54購08
700753,寬宏凱基54購02
700754,台半統一5C購02
700755,宜鼎統一6A購02
700756,威剛統一5C購03
700757,竑騰統一5C購01
700758,穩得統一5C購01
700759,IET國泰55購01
700760,旺矽國泰55購01
700761,威剛國泰55購03
700762,順達國泰55購02
700763,撼訊國泰55購02
700764,中光電元大54購17
700765,弘塑元大54購13
700766,弘塑元大54購14
700767,弘塑元大54購15
700768,良維元大56購02
700769,旺矽元大54購16
700770,旺矽元大56購03
700771,鈊象元大54購14
700772,鈊象元大54購15
700773,聖暉*元大56購01
700774,鈺太元大54購01
700775,元太國票55購01
700776,伍豐國票55購01
700777,安勤國票55購01
700778,亞通國票55購01
700779,佳邦國票55購01
700780,宜鼎國票55購02
700781,神盾國票55購01
700782,聖暉*國票55購01
700783,營邦國票55購01
700784,弘塑永豐56購01
700785,宜鼎永豐55購03
700786,威剛永豐5A購01
700787,閎康永豐55購01
700788,鈊象永豐54購02
700789,臺慶科永豐57購01
700790,旺矽中信57購02
700791,威剛中信57購02
700792,原相中信55購01
700793,大中群益54購01
700794,弘塑群益55購03
700795,良維群益58購01
700796,宜鼎群益54購03
700797,昇達科群益54購04
700798,原相群益56購02
700799,華星光群益55購04
700800,雙鴻群益56購03
700801,元太兆豐55購01
700802,旺矽兆豐55購02
700803,信立兆豐56購01
700804,威剛富邦54購02
700805,萬潤國票55購01
700806,蜜望實國票55購02
700807,寬宏國票56購01
700808,雙鴻國票55購04
700809,雙鴻國泰55購03
700810,山富統一5C購01
700811,光頡統一5C購01
700812,信昌電統一5C購01
700813,弘塑凱基54購07
700814,宜鼎凱基54購10
700815,信昌電凱基54購03
700816,聖暉*凱基54購05
700817,鈺太凱基54購01
700818,雙鴻凱基54購13
700819,弘塑群益54購06
700820,威剛群益57購02
700821,弘塑兆豐56購01
700822,良維兆豐56購02
700823,雙鴻兆豐56購01
700824,昇達科元富54購02
700825,華星光元富54購02
700826,中光電中信56購01
700827,信立永豐5A購01
700828,威剛永豐64購01
700829,雙鴻永豐55購04
700830,中美晶元大5A購01
700831,世界元大54購05
700832,弘塑元大54購16
700833,弘塑元大54購17
700834,弘塑元大54購18
700835,良維元大54購11
700836,雙鴻元大54購26
700837,世界凱基56購01
700838,信昌電凱基55購01
700839,原相凱基56購02
700840,臺慶科凱基54購03
700841,德微凱基54購01
700842,華星光國泰55購02
700843,世界統一5C購01
700844,立敦統一5C購01
700845,臺慶科統一5C購01
700846,世界國票56購01
700847,光頡國票54購01
700848,閎康國票55購01
700849,雷科國票54購02
700850,臺慶科國票5C購01
700851,信昌電永豐55購02
700852,德微永豐54購02
700853,金山電元富55購01
700854,閎康元富54購03
700855,弘塑元大54購19
700856,弘塑元大54購20
700857,良維元大5A購01
700858,華星光元大54購13
700859,臺慶科元大54購04
700860,德微元大54購02
700861,雙鴻元大54購27
700862,雙鴻元大54購28
700863,立敦群益54購02
700864,弘塑富邦57購01
700865,廣明富邦55購05
700866,雙鴻富邦56購04
700867,波若威兆豐56購01
700868,力旺元大54購02
700869,力旺元大54購03
700870,力旺元大54購04
700871,世界元大54購06
700872,尼克森元大54購01
700873,弘塑元大54購21
700874,立敦元大54購01
700875,良維元大5A購02
700876,波若威元大54購05
700877,金山電元大54購01
700878,臺慶科元大54購05
700879,德微元大54購03
700880,雙鴻元大54購29
700881,中光電凱基54購11
700882,中美晶凱基54購03
700883,台半凱基54購02
700884,弘塑凱基54購08
700885,合晶凱基54購05
700886,神盾凱基56購02
700887,閎康凱基54購02
700888,德微凱基55購02
700889,雙鴻凱基54購15
700890,力旺國泰55購02
700891,波若威國泰55購01
700892,精材國泰55購01
700893,德微國泰55購01
700894,力旺富邦56購03
700895,宜鼎富邦54購03
700896,欣銓富邦54購02
700897,精材富邦54購03
700898,力旺統一5A購01
700899,力旺統一6A購01
700900,台半統一5C購03
700901,尼克森統一5C購01
700902,光頡統一5A購01
700903,宜鼎統一57購02
700904,波若威統一6A購01
700905,力旺元富54購07
700906,力旺元富54購08
700907,力旺元富57購03
700908,中美晶元富55購02
700909,台半元富54購03
700910,台半元富54購04
700911,台半元富54購05
700912,波若威元富54購02
700913,德微元富57購02
700914,雙鴻元富56購01
700915,中美晶中信54購01
700916,合晶中信54購01
700917,信昌電中信54購01
700918,台半永豐55購01
700919,尼克森永豐54購01
700920,波若威永豐5A購01
700921,力旺國票54購02
700922,中美晶國票55購02
700923,台半國票55購02
700924,宏捷科國票55購01
700925,佳邦國票55購02
700926,波若威國票55購01
700927,臺慶科國票55購02
700928,蜜望實國票58購01
700929,蜜望實國票5A購01
700930,譜瑞國票55購01
700931,力旺群益54購02
700932,大中群益54購02
700933,波若威群益56購01
700934,原相群益54購06
700935,華星光群益54購05
700936,萬泰科群益54購01
700937,蜜望實群益54購02
700938,中美晶兆豐5A購01
700939,立敦凱基54購01
700940,光頡凱基54購01
700941,宏捷科凱基54購03
700942,順達凱基54購07
700943,臺慶科凱基54購04
700944,雙鴻凱基55購06
700945,中美晶元大56購01
700946,台半元大54購03
700947,弘塑元大54購22
700948,合晶元大54購04
700949,良維元大54購12
700950,威剛元大54購23
700951,原相元大54購07
700952,神盾元大56購01
700953,能率元大54購04
700954,華星光元大56購03
700955,撼訊元大5A購01
700956,擎亞元大58購01
700957,雙鴻元大54購30
700958,大中國票55購01
700959,立敦國票55購01
700960,金益鼎國票55購01
700961,泰茂國票55購01
700962,能率國票55購01
700963,訊聯國票55購02
700964,高技國票55購03
700965,常珵國票56購01
700966,晶宏國票55購01
700967,順達國票55購01
700968,德微國票55購02
700969,營邦國票54購02
700970,穩懋國票55購02
700971,立敦群益54購03
700972,雙鴻群益56購04
700973,台半元富57購01
700974,朋程元富54購01
700975,原相元富55購01
700976,訊聯元富54購02
700977,雍智元富54購03
700978,神盾永豐55購02
700979,中美晶國泰55購02
700980,中光電富邦54購02
700981,朋程富邦56購01
700982,台半兆豐55購01
700983,威剛兆豐5A購01
700984,閎康兆豐56購01
700985,中光電凱基56購01
700986,尼克森凱基54購02
700987,金益鼎凱基54購02
700988,信立凱基54購02
700989,信昌電凱基54購04
700990,原相凱基54購06
700991,閎康凱基54購03
700992,營邦凱基54購02
700993,雙鴻凱基54購16
700994,昇達科國泰55購01
700995,訊聯國泰55購01
700996,臺慶科國泰55購02
700997,弘塑元大54購23
700998,宜鼎元大56購02
700999,信昌電元大54購06
701000,威剛元大54購24
701001,雙鴻元大54購31
701002,信昌電富邦54購01
701003,原相富邦54購03
701004,弘塑國票55購02
701005,信昌電國票58購01
701006,凱崴國票55購02
701007,綠界*國票55購01
701008,大學光元富54購01
701009,威剛元富54購09
701010,雙鴻元富5A購01
701011,臺慶科中信56購01
701012,立敦永豐54購01
701013,良維永豐54購02
701014,常珵永豐54購01
701015,晶焱永豐55購01
701016,雍智永豐58購01
701017,雙鴻永豐56購02
701018,凱崴群益55購02
701019,營邦群益55購01
701020,雙鴻群益54購08
701021,耀勝群益54購01
701022,威剛國票55購05
701023,晶焱國票56購01
701024,晶焱國票58購01
701025,新應材第一54購01
701026,中光電元富54購05
701027,宜鼎元富54購01
701028,晶焱元富54購01
701029,晶焱元富54購02
701030,晶焱元富54購03
701031,台燿永豐54購02
701032,台燿永豐54購03
701033,立碁永豐55購01
701034,佳邦永豐55購01
701035,宜鼎永豐55購04
701036,金山電永豐56購01
701037,威剛永豐5C購01
701038,皇田永豐55購01
701039,晶焱永豐54購01
701040,新應材永豐54購02
701041,新應材永豐57購01
701042,世界元大54購07
701043,弘塑元大54購24
701044,佳邦元大54購01
701045,宜鼎元大56購03
701046,威剛元大54購25
701047,高技元大54購01
701048,華星光元大56購04
701049,新應材元大54購08
701050,新應材元大54購09
701051,台半國泰55購01
701052,晶焱國泰55購01
701053,新應材國泰55購01
701054,新應材國泰55購02
701055,營邦國泰55購01
701056,中美晶富邦55購02
701057,弘塑凱基54購09
701058,立敦凱基54購02
701059,佳邦凱基54購01
701060,宜鼎凱基55購02
701061,聖暉*凱基54購06
701062,營邦凱基55購01
701063,FH中5G群益56購01
701064,元債20群益61購01
701065,立敦群益54購04
701066,均華群益54購02
701067,佳邦群益54購01
701068,東捷群益56購01
701069,神盾群益56購03
701070,訊聯群益54購02
701071,凱崴群益55購03
701072,雙鴻群益54購09
701073,宜鼎第一54購01
701074,均豪兆豐56購01
701075,新應材兆豐56購01
701076,萬潤兆豐56購01
