股票代號,股票名稱,收盤價,MA5,MA20,MA60,成交量,成交值,量MA5,RSI,5日漲幅
1532,勤美,20.8,20.67,20.62,21.77,800971,16660196,563494,47.23,1.22
1533,車王電,38.65,38.97,35.24,32.06,596514,23055267,981780,74.35,1.71
1535,中宇,49.0,49.26,49.82,51.25,135441,6636609,111509,36.79,-0.41
1536,和大,49.7,50.96,52.15,51.79,3081853,153168096,2838104,44.6,1.22
1537,廣隆,125.5,125.5,124.5,124.05,118353,14853301,83735,55.75,0.8
1538,正峰,11.8,11.95,12.46,14.33,20277,239268,11153,30.92,-4.84
1539,巨庭,15.8,15.79,15.75,16.37,74440,1176152,120932,47.19,1.94
1540,喬福,20.85,21.1,20.95,21.68,443471,9246370,386759,45.72,0.72
1541,錩泰,20.55,20.52,21.94,24.07,37000,760349,36800,29.31,0.74
1558,伸興,90.7,90.68,90.92,92.52,103265,9366135,77685,46.51,0.78
1560,中砂,727.0,709.2,629.25,534.08,2060219,1497779213,2437974,70.37,19.38
1563,巧新,55.6,48.79,44.82,42.77,1388474,77199152,1058505,86.91,23.56
1568,倉佑,37.5,32.41,29.66,25.7,1409138,52842675,1195700,83.46,33.93
1582,信錦,110.0,113.6,100.05,96.0,7255097,798060670,10695198,58.03,2.8
1583,程泰,53.8,49.1,48.08,46.25,145075,7805034,68623,72.63,14.23
1587,吉茂,29.2,28.52,30.06,34.16,816637,23845801,438413,37.73,4.29
1589,永冠-KY,5.54,5.54,5.54,6.54,0,0,0,24.04,0.0
1590,亞德客-KY,1435.0,1436.0,1462.25,1224.5,612743,879286205,706247,55.94,2.14
1597,直得,199.0,194.1,178.2,120.4,9327929,1856257871,6444062,63.53,16.37
1598,岱宇,20.0,20.13,20.53,20.0,178713,3574260,229741,45.48,-1.48
1603,華電,31.15,30.8,31.33,32.93,301833,9402097,416236,46.72,5.95
1604,聲寶,23.35,23.26,22.99,24.06,437318,10211375,417830,51.06,1.08
1605,華新,37.5,36.92,34.41,32.72,48851868,1831945050,56199412,63.24,13.29
1608,華榮,33.65,33.45,33.08,33.06,3216295,108228331,3483157,54.38,6.83
1609,大亞,36.75,35.87,34.42,34.43,10638281,390956826,7281166,65.27,8.73
1611,中電,11.5,11.41,11.54,12.26,904791,10405096,621096,44.91,3.14
1612,宏泰,36.9,36.74,36.42,35.51,1570622,57955954,997393,59.99,3.22
1614,三洋電,31.0,30.82,31.34,32.04,121221,3757851,69316,40.63,0.49
1615,大山,42.9,43.01,44.08,45.46,279779,12002519,186063,36.6,0.47
1616,億泰,21.25,21.78,21.78,23.59,748766,15911277,649329,39.9,0.0
1617,榮星,14.65,14.71,14.8,14.98,153904,2254693,190520,45.92,2.45
1618,合機,41.8,40.43,39.02,39.99,2681124,112070981,1944424,65.58,9.14
1623,大東電,238.5,228.4,233.25,213.18,554874,132337449,249269,58.53,10.67
1626,艾美特-KY,10.05,9.97,10.49,10.53,281046,2824512,97879,39.03,1.52
1702,南僑,32.9,33.09,33.74,35.41,698436,22978545,525411,31.81,-0.3
